"Date","Price","Open","High","Low","Vol.","Change %"
"21-02-2023","55.35","54.60","56.15","54.40","100.11M","1.37%"
"20-02-2023","54.60","51.90","55.05","51.75","93.32M","5.41%"
"17-02-2023","51.80","51.25","52.20","50.70","52.86M","0.78%"
"16-02-2023","51.40","50.80","51.80","50.45","48.84M","2.29%"
"15-02-2023","50.25","50.55","50.90","49.80","49.66M","-0.20%"
"14-02-2023","50.35","51.80","52.50","49.90","79.40M","-2.80%"
"13-02-2023","51.80","53.00","53.70","51.25","86.16M","-2.81%"
"10-02-2023","53.30","52.70","54.15","50.70","176.95M","-2.02%"
"09-02-2023","54.40","54.70","56.80","53.40","216.40M","0.18%"
"08-02-2023","54.30","51.20","55.30","51.10","265.60M","10.03%"
"07-02-2023","49.35","48.00","51.00","47.60","61.08M","3.35%"
"06-02-2023","47.75","48.70","49.10","47.55","35.96M","-2.05%"
"03-02-2023","48.75","48.15","49.25","47.70","42.50M","2.63%"
"02-02-2023","47.50","48.40","48.90","47.15","40.75M","-1.35%"
"01-02-2023","48.15","50.00","51.05","47.05","68.75M","-3.22%"
"31-01-2023","49.75","48.00","50.70","46.45","95.40M","4.96%"
"30-01-2023","47.40","47.90","48.55","46.70","54.38M","0.96%"
"27-01-2023","46.95","49.00","51.80","46.70","169.79M","-1.68%"
"25-01-2023","47.75","52.00","52.05","44.35","237.76M","-8.35%"
"24-01-2023","52.10","51.00","52.30","50.65","47.72M","2.16%"
"23-01-2023","51.00","51.90","51.90","50.65","24.66M","-0.87%"
"20-01-2023","51.45","51.40","52.25","50.55","47.36M","0.68%"
"19-01-2023","51.10","50.30","51.90","50.05","54.52M","0.20%"
"18-01-2023","51.00","50.40","51.45","48.85","84.54M","1.69%"
"17-01-2023","50.15","53.00","53.10","50.00","77.12M","-4.84%"
"16-01-2023","52.70","54.00","54.30","52.50","35.89M","-1.03%"
"13-01-2023","53.25","54.10","54.50","53.05","38.74M","-0.93%"
"12-01-2023","53.75","54.70","55.00","52.95","38.86M","-1.10%"
"11-01-2023","54.35","55.00","56.15","54.10","32.63M","-0.64%"
"10-01-2023","54.70","56.00","56.15","53.80","45.97M","-2.32%"
"09-01-2023","56.00","56.00","57.25","55.75","35.49M","1.36%"
"06-01-2023","55.25","56.20","56.40","54.95","30.27M","-1.69%"
"05-01-2023","56.20","56.95","57.10","55.60","34.45M","-0.27%"
"04-01-2023","56.35","58.40","58.70","56.00","48.98M","-4.41%"
"03-01-2023","58.95","58.85","59.55","57.30","49.70M","-2.24%"
"02-01-2023","60.30","60.65","60.70","59.80","18.76M","1.69%"
"30-12-2022","59.30","61.00","61.45","59.00","33.25M","-2.55%"
